hospcode,observed ,expected ,lower,upper
1,1.149425287,0.031394337,0.028304797,0.034469712
2,0.943396226,0.034503455,0.031683055,0.037515993
3,4,0.033436297,0.030945469,0.036318577
4,4.255319149,0.031906372,0.029292985,0.034505131
5,0.869565217,0.033438905,0.030911078,0.035869679
6,1.923076923,0.030086551,0.027348102,0.032985301
7,6.666666667,0.03138386,0.028767017,0.033773237
8,3.333333333,0.03301779,0.030244832,0.03583258
9,0,0.032336827,0.029598657,0.035398376
10,2,0.03222698,0.029487445,0.035298785
11,1.111111111,0.030165646,0.027353908,0.032815402
12,4.081632653,0.033644422,0.030826628,0.03660675
13,4.761904762,0.03268253,0.029926087,0.035386937
14,0.970873786,0.029553405,0.026902871,0.032151912
15,2.857142857,0.031814493,0.029235023,0.034378489
16,0.900900901,0.031316988,0.028816954,0.033683155
17,13.97849462,0.034715403,0.032161913,0.037177803
18,2.105263158,0.031481281,0.028929525,0.034103574
19,0,0.03082361,0.028028016,0.033532738
20,2.040816327,0.028112164,0.025496874,0.030861754
21,5.434782609,0.031869443,0.029005506,0.034659237
22,2.325581395,0.031779748,0.029342879,0.034493311
23,6.18556701,0.030321496,0.027472127,0.033195485
24,3.846153846,0.033307734,0.030724647,0.036072451
25,3.157894737,0.031505563,0.028896492,0.034418932
26,4.04040404,0.033123263,0.030111507,0.036436191
27,2.02020202,0.032816208,0.030030002,0.03554783
28,4.95049505,0.032768872,0.03014775,0.035703648
29,1.904761905,0.031214098,0.028688069,0.033931465
30,8.547008547,,,
31,6.730769231,0.031410796,0.028885839,0.034073132
32,0,0.032610593,0.029576691,0.035705672
33,0,0.032604684,0.029818294,0.035489571
34,14.14141414,0.031710447,0.029024851,0.034441564
35,5.952380952,0.031513758,0.028590428,0.034383626
36,1.01010101,0.029841204,0.027117947,0.032378958
37,3.738317757,0.030720355,0.028281896,0.033329446
38,0.884955752,0.030577545,0.027844402,0.033435558
39,3.96039604,0.031406934,0.028826052,0.034097928
40,2.325581395,0.030778609,0.028141298,0.033415374
41,4.310344828,0.03148139,0.029025108,0.033991054
42,0,0.029803456,0.027372499,0.032273173
43,2.409638554,0.032228509,0.029809136,0.034899417
44,0,0.032210151,0.029552743,0.034596128
